sex,stars,age,restaurant,id,race
Male,1,38,Burger King,787,Black
Female,4,27,Taco Bell,788,Hispanic
Male,4,28,Burger King,789,Black
Female,5,23,Taco Bell,790,Black
Female,3,34,KFC,791,Other
Male,3,32,Taco Bell,792,White
Female,4,37,Burger King,793,Hispanic
Female,3,35,McDonald,794,Other
Female,4,30,McDonald,795,Hispanic
Male,2,29,Burger King,796,Other
Female,5,38,McDonald,797,Other
Female,4,31,McDonald,798,Other
Female,1,31,Taco Bell,799,Hispanic
Male,3,30,McDonald,800,White
Male,1,28,Burger King,801,Black
Male,1,31,Burger King,802,Other
Female,4,31,Taco Bell,803,Other
Female,1,35,Taco Bell,804,Black
Female,4,21,Burger King,805,White
Female,1,30,KFC,806,Other
Female,1,38,KFC,807,Other
Female,1,30,KFC,808,Hispanic
Male,5,38,McDonald,809,Other
Male,2,30,McDonald,810,White
Male,2,34,KFC,811,Other
Male,4,34,McDonald,812,Black
Male,1,35,Burger King,813,Hispanic
Male,4,32,Burger King,814,Hispanic
Male,1,26,KFC,815,White
Female,1,26,Taco Bell,816,Black
Male,2,32,McDonald,817,Other
Female,5,35,Taco Bell,818,Hispanic
Male,4,25,KFC,819,White
Female,4,33,Burger King,820,Hispanic
Female,5,21,McDonald,821,White
Male,3,31,KFC,822,Hispanic
Female,4,35,McDonald,823,Black
Female,2,32,McDonald,824,White
Male,4,33,KFC,825,Hispanic
Male,3,35,McDonald,826,Other
Female,5,31,Burger King,827,White
Male,3,28,Burger King,828,Hispanic
Male,2,30,McDonald,829,Other
Male,4,29,Burger King,830,Other
Male,4,36,McDonald,831,Other
Male,2,34,Burger King,832,Hispanic
Female,1,24,Taco Bell,833,White
Female,1,33,Taco Bell,834,White
Female,5,27,Burger King,835,Black
Female,3,27,Burger King,836,Black
Male,2,29,KFC,837,Black
Female,2,35,KFC,838,Hispanic
Female,2,29,Taco Bell,839,Black
Male,1,31,Taco Bell,840,Other
Male,5,27,Burger King,841,Hispanic
Male,2,33,Burger King,842,Other
Female,3,30,Burger King,843,Hispanic
Male,2,28,Burger King,844,White
Male,5,22,Burger King,845,Other
Female,5,29,McDonald,846,Black
Male,3,27,Taco Bell,847,Black
Male,2,33,Taco Bell,848,White
Female,5,34,Burger King,849,Hispanic
Male,1,34,KFC,850,Other
Male,2,26,Taco Bell,851,Other
Female,3,31,McDonald,852,Black
Male,5,34,Taco Bell,853,Black
Male,2,25,Taco Bell,854,Black
Male,1,37,Taco Bell,855,White
Female,5,31,KFC,856,White
Female,4,35,Burger King,857,Hispanic
Male,1,25,Burger King,858,Other
Male,3,25,Taco Bell,859,Other
Male,1,29,Burger King,860,Other
Female,2,26,KFC,861,Hispanic
Female,1,29,Taco Bell,862,White
Female,1,39,KFC,863,Black
Female,5,33,KFC,864,Hispanic
Female,1,30,KFC,865,White
Female,2,26,KFC,866,Black
Male,5,27,McDonald,867,Black
Male,3,30,Burger King,868,White
Male,5,32,Burger King,869,Black
Female,5,20,McDonald,870,Black
Female,1,36,McDonald,871,White
Male,4,26,Taco Bell,872,White
Female,3,20,Taco Bell,873,Other
Female,3,42,Burger King,874,Other
Female,4,28,KFC,875,Other
Female,2,38,McDonald,876,Black
Male,5,21,Burger King,877,Other
Male,4,32,Taco Bell,878,Other
Female,1,27,Taco Bell,879,Other
Female,1,30,KFC,880,Hispanic
Female,1,26,McDonald,881,White
Male,2,30,Burger King,882,Hispanic
Female,1,26,McDonald,883,Hispanic
Female,2,19,McDonald,884,Hispanic
Female,1,28,Taco Bell,885,Black
Male,3,33,KFC,886,Other
Female,1,32,Burger King,887,Other
Male,3,26,Taco Bell,888,Hispanic
Male,5,30,Taco Bell,889,Other
Male,2,30,McDonald,890,White
Female,5,37,McDonald,891,Hispanic
Female,3,33,McDonald,892,Black
Female,2,31,Burger King,893,Hispanic
Female,5,31,McDonald,894,Hispanic
Female,4,25,McDonald,895,Other
Male,2,24,Burger King,896,Black
Male,4,25,KFC,897,White
Male,5,35,KFC,898,Black
Male,1,29,McDonald,899,Other
Female,2,30,McDonald,900,White
Female,5,35,Burger King,901,Black
Male,1,28,McDonald,902,Other
Female,3,35,McDonald,903,White
Female,3,36,Taco Bell,904,Black
Female,2,31,McDonald,905,Hispanic
Male,2,27,McDonald,906,Hispanic
Male,3,30,Taco Bell,907,Hispanic
Female,4,28,Taco Bell,908,Black
Male,4,27,Taco Bell,909,Hispanic
Female,5,26,Burger King,910,Other
Male,2,29,Taco Bell,911,Other
Male,1,34,KFC,912,Other
Male,2,39,Burger King,913,White
Female,4,21,KFC,914,Hispanic
Female,3,29,Taco Bell,915,Black
Female,3,22,Taco Bell,916,Other
Male,4,29,Taco Bell,917,White
Male,2,32,Taco Bell,918,Other
Male,2,27,KFC,919,White
Female,3,33,Burger King,920,Hispanic
Male,3,24,Taco Bell,921,Hispanic
Male,2,29,KFC,922,Other
Male,2,31,KFC,923,White
Female,2,35,McDonald,924,White
Female,5,33,McDonald,925,Other
Male,4,36,Taco Bell,926,Black
Male,5,17,Taco Bell,927,Other
Female,2,29,Taco Bell,928,Other
Female,5,34,Taco Bell,929,Black
Male,1,20,McDonald,930,Black
Male,5,28,McDonald,931,Black
Female,2,38,KFC,932,White
Female,2,21,KFC,933,Other
Male,2,34,KFC,934,Black
Male,2,32,Taco Bell,935,Black
Male,1,21,Taco Bell,936,White
Male,3,23,Burger King,937,Black
Female,5,35,Burger King,938,Other
Female,5,35,McDonald,939,Other
Male,4,32,KFC,940,White
Female,5,28,McDonald,941,Other
Male,1,16,Taco Bell,942,Other
Female,1,29,Taco Bell,943,White
Female,3,25,Burger King,944,Black
Male,4,31,Burger King,945,Black
Female,4,31,Burger King,946,Hispanic
Male,1,20,McDonald,947,Hispanic
Female,4,27,McDonald,948,Other
Male,5,21,KFC,949,White
Male,3,31,McDonald,950,Black
Female,2,32,KFC,951,Other
Male,1,27,McDonald,952,Other
Male,2,35,Burger King,953,Black
Female,2,37,KFC,954,White
Male,1,29,Burger King,955,Black
Male,5,31,McDonald,956,White
Male,4,27,KFC,957,Black
Female,3,27,Taco Bell,958,Black
Female,3,26,McDonald,959,Hispanic
Male,2,28,KFC,960,Hispanic
Male,4,28,McDonald,961,White
Female,2,30,Burger King,962,Black
Female,3,34,Burger King,963,Other
Male,2,29,Burger King,964,White
Male,3,32,Taco Bell,965,White
Female,3,28,KFC,966,Hispanic
Male,5,25,KFC,967,Other
Female,3,29,KFC,968,White
Female,4,31,McDonald,969,White
Male,2,20,McDonald,970,Black
Female,3,34,Taco Bell,971,Other
Female,4,25,McDonald,972,Other
Female,2,22,Burger King,973,Other
Female,3,26,Taco Bell,974,Hispanic
Male,5,39,McDonald,975,White
Female,5,34,Burger King,976,Hispanic
Male,4,24,Taco Bell,977,Black
Male,2,32,McDonald,978,White
Male,4,26,Burger King,979,Black
Female,3,28,McDonald,980,Black
Male,4,32,KFC,981,Other
Male,2,35,KFC,982,Black
Male,1,31,McDonald,983,Other
Female,2,38,McDonald,984,Other
Male,1,27,Taco Bell,985,Hispanic
Male,5,28,Burger King,986,Black
Female,4,35,McDonald,987,White
Female,2,35,Taco Bell,988,Hispanic
Female,2,31,McDonald,989,Other
Female,3,36,Taco Bell,990,Hispanic
Male,1,28,KFC,991,Other
Female,5,32,Taco Bell,992,White
Female,1,31,Burger King,993,Other
Female,1,18,KFC,994,Black
Male,1,28,KFC,995,Other
Female,3,33,Taco Bell,996,Black
Male,3,33,Burger King,997,White
Female,4,25,McDonald,998,Other
Female,4,30,McDonald,999,Black
Female,5,32,Taco Bell,1000,White
Female,3,31,McDonald,1001,Black
Male,1,38,Burger King,1002,Other
Female,1,33,KFC,1003,Black
Female,1,27,KFC,1004,Hispanic
Female,1,35,McDonald,1005,Hispanic
Male,4,22,Taco Bell,1006,Other
Male,2,25,Burger King,1007,White
Male,2,31,Burger King,1008,Black
Female,1,34,McDonald,1009,Black
Female,1,33,Burger King,1010,White
Female,4,27,Burger King,1011,Hispanic
Female,5,29,Burger King,1012,White
Male,2,19,Burger King,1013,Black
Female,5,32,KFC,1014,Hispanic
Female,3,35,Taco Bell,1015,Black
Female,1,25,KFC,1016,White
Female,3,35,McDonald,1017,White
Female,5,27,Taco Bell,1018,White
Female,2,30,McDonald,1019,Black
Female,2,30,KFC,1020,Black
Male,5,23,McDonald,1021,Other
Male,3,26,McDonald,1022,Other
Female,5,28,Taco Bell,1023,White
Female,5,27,Taco Bell,1024,Black
Female,1,31,Burger King,1025,Black
Female,5,20,Burger King,1026,Black
Male,4,32,Taco Bell,1027,Black
Male,1,29,McDonald,1028,White
Male,5,36,McDonald,1029,Black
Female,1,29,McDonald,1030,Hispanic
Female,1,27,Taco Bell,1031,Other
Female,4,29,KFC,1032,Hispanic
Female,5,19,Taco Bell,1033,Hispanic
Female,4,30,Burger King,1034,Hispanic
Male,2,21,McDonald,1035,White
Male,5,30,Taco Bell,1036,Black
Female,3,36,McDonald,1037,Hispanic
Male,1,21,Taco Bell,1038,Other
Female,5,36,Burger King,1039,Black
Female,5,21,KFC,1040,Black
Female,5,30,Taco Bell,1041,Black
Female,4,26,Taco Bell,1042,Black
Male,1,36,KFC,1043,Hispanic
Female,5,36,Taco Bell,1044,White
Female,1,23,Burger King,1045,Hispanic
Male,1,32,Burger King,1046,White
Male,3,30,McDonald,1047,Other
Male,2,28,Taco Bell,1048,White
Male,1,25,KFC,1049,Black
Male,5,24,McDonald,1050,Hispanic
Female,2,29,McDonald,1051,Black
Female,3,23,McDonald,1052,Hispanic
Female,1,29,McDonald,1053,Hispanic
Female,4,28,Taco Bell,1054,Hispanic
Male,1,31,McDonald,1055,Other
Male,2,32,Taco Bell,1056,Other
Female,4,24,McDonald,1057,White
Male,2,27,Taco Bell,1058,Hispanic
Male,1,43,Taco Bell,1059,Hispanic
Female,4,30,Taco Bell,1060,Hispanic
Female,2,30,Burger King,1061,Other
Male,2,28,Burger King,1062,Hispanic
Male,5,39,McDonald,1063,Other
Female,5,25,Burger King,1064,White
Female,1,27,Burger King,1065,Hispanic
Female,2,27,McDonald,1066,Black
Male,5,32,Burger King,1067,Hispanic
Male,5,35,Burger King,1068,Other
Female,1,27,McDonald,1069,Hispanic
Male,1,28,McDonald,1070,Black
Female,5,26,Burger King,1071,White
Male,3,36,Burger King,1072,White
Male,1,24,Burger King,1073,White
Female,2,35,KFC,1074,White
Male,2,34,Burger King,1075,Other
Female,3,26,Taco Bell,1076,Hispanic
Female,3,39,Burger King,1077,White
Male,1,32,Burger King,1078,Other
Male,1,26,KFC,1079,Black
Male,4,27,McDonald,1080,Other
Female,1,35,McDonald,1081,White
Male,4,30,Taco Bell,1082,Other
Male,2,30,Taco Bell,1083,White
Female,2,30,McDonald,1084,Black
Female,1,40,Burger King,1085,White
Male,3,33,Burger King,1086,Other
Female,1,34,KFC,1087,Other
Female,4,38,Burger King,1088,Black
Male,2,25,Taco Bell,1089,Black
Female,3,31,KFC,1090,Other
Male,1,33,Burger King,1091,Black
Female,1,25,Taco Bell,1092,Other
Female,2,34,Taco Bell,1093,Other
Male,3,28,Burger King,1094,Black
Female,5,29,KFC,1095,White
Female,4,26,McDonald,1096,Black
Male,3,37,Burger King,1097,White
Female,4,29,McDonald,1098,Other
Male,1,29,McDonald,1099,Black
Male,4,29,Taco Bell,1100,Black
Female,3,23,Burger King,1101,Black
Female,2,24,McDonald,1102,Other
Female,3,29,Taco Bell,1103,Black
Female,3,23,Burger King,1104,Hispanic
Female,4,30,Burger King,1105,White
Female,3,33,McDonald,1106,Hispanic
Male,2,31,KFC,1107,Hispanic
Male,5,40,KFC,1108,Other
Male,1,27,Burger King,1109,Black
Female,1,35,Burger King,1110,Black
Female,3,39,Taco Bell,1111,Other
Female,4,30,McDonald,1112,Hispanic
Female,1,32,Taco Bell,1113,White
Male,1,29,Taco Bell,1114,Hispanic
Male,3,29,Burger King,1115,Hispanic
Male,2,31,McDonald,1116,Hispanic
Female,5,36,Taco Bell,1117,Black
Female,2,16,McDonald,1118,Black
Male,3,30,McDonald,1119,Hispanic
Male,3,27,Taco Bell,1120,White
Female,2,24,McDonald,1121,Other
Female,5,23,KFC,1122,Other
Female,2,35,Burger King,1123,Hispanic
Male,3,26,Taco Bell,1124,Other
Male,4,30,Taco Bell,1125,White
Male,4,28,McDonald,1126,Hispanic
Female,3,25,KFC,1127,Other
Female,5,35,KFC,1128,White
Female,3,22,KFC,1129,Other
Female,1,28,KFC,1130,Hispanic
Male,4,32,McDonald,1131,Hispanic
Male,4,23,McDonald,1132,White
Female,1,28,Burger King,1133,White
Female,2,32,Taco Bell,1134,White
Female,2,26,KFC,1135,Black
Male,2,28,Burger King,1136,Black
Female,4,32,KFC,1137,White
Male,1,36,McDonald,1138,White
Female,3,23,Taco Bell,1139,Black
Male,5,36,Burger King,1140,Other
Female,1,31,Burger King,1141,Black
Female,2,32,Burger King,1142,Hispanic
Female,5,22,McDonald,1143,Black
Male,4,25,McDonald,1144,Black
Female,5,29,Burger King,1145,Other
Female,4,34,KFC,1146,Black
Female,5,24,McDonald,1147,Black
Male,2,32,KFC,1148,Hispanic
Female,3,33,Burger King,1149,Hispanic
Male,4,28,Taco Bell,1150,Other
Male,2,36,Taco Bell,1151,Hispanic
Male,4,20,KFC,1152,White
Female,3,26,Burger King,1153,White
Female,5,26,McDonald,1154,White
Male,3,36,KFC,1155,Hispanic
Male,5,29,Burger King,1156,Other
Female,2,33,Burger King,1157,Black
Female,5,35,McDonald,1158,White
Male,3,32,Taco Bell,1159,Black
Female,4,16,KFC,1160,White
Male,1,28,Taco Bell,1161,Black
Male,3,30,Taco Bell,1162,Hispanic
Female,2,31,KFC,1163,White
Female,2,34,KFC,1164,Black
Male,5,21,Taco Bell,1165,Hispanic
Male,1,32,McDonald,1166,Other
Female,5,26,Burger King,1167,Hispanic
Female,4,25,Taco Bell,1168,Black
Female,2,26,KFC,1169,Hispanic
Female,4,17,KFC,1170,Other
Female,2,41,McDonald,1171,White
Female,3,31,KFC,1172,Other
Male,2,27,Burger King,1173,White
Female,1,39,Taco Bell,1174,Other
Female,3,35,Burger King,1175,Other
Male,2,33,KFC,1176,Black
Female,2,37,KFC,1177,Hispanic
Female,5,25,KFC,1178,Black
Male,1,35,McDonald,1179,Other
Male,2,37,Burger King,1180,Other
Male,3,23,KFC,1181,Hispanic
Female,4,28,KFC,1182,Hispanic
Male,2,24,McDonald,1183,Hispanic
Female,4,30,Taco Bell,1184,White
Female,4,31,Taco Bell,1185,White
Male,5,33,Burger King,1186,Other
Female,2,28,Burger King,1187,Hispanic
Female,5,29,McDonald,1188,Hispanic
Male,2,29,McDonald,1189,Hispanic
Male,4,43,KFC,1190,Black
Female,4,34,Taco Bell,1191,Hispanic
Female,3,29,Burger King,1192,White
Female,3,31,McDonald,1193,White
Female,2,34,KFC,1194,Black
Female,2,28,KFC,1195,White
Male,3,34,Taco Bell,1196,Black
Male,5,27,KFC,1197,Black
Male,4,31,McDonald,1198,White
Male,1,31,Taco Bell,1199,White
Female,3,20,McDonald,1200,Hispanic
Female,4,26,McDonald,1201,Black
Female,3,30,Taco Bell,1202,Black
Female,3,33,McDonald,1203,Black
Female,3,33,Taco Bell,1204,Hispanic
Female,4,29,McDonald,1205,White
Female,5,36,Burger King,1206,White
Male,1,30,Taco Bell,1207,Hispanic
Male,4,24,KFC,1208,Other
Female,1,29,Taco Bell,1209,White
Male,3,26,Taco Bell,1210,Other
Male,2,27,Burger King,1211,Hispanic
Female,4,28,Burger King,1212,Hispanic
Male,2,32,Burger King,1213,White
Male,1,23,McDonald,1214,Black
Female,1,24,McDonald,1215,Black
Male,3,30,Burger King,1216,Hispanic
Male,5,22,KFC,1217,Hispanic
Female,5,29,Taco Bell,1218,White
Male,2,22,McDonald,1219,Hispanic
Male,1,20,KFC,1220,Hispanic
Male,4,16,KFC,1221,Black
Male,4,36,KFC,1222,Other
Male,2,28,Taco Bell,1223,Other
Female,4,36,Taco Bell,1224,Hispanic
Male,2,32,Taco Bell,1225,Hispanic
Female,3,27,Burger King,1226,Hispanic
Male,3,26,KFC,1227,White
Male,4,31,Taco Bell,1228,Black
Male,2,32,Taco Bell,1229,Black
Female,4,25,Burger King,1230,Black
Female,4,25,Taco Bell,1231,Hispanic
Male,1,19,Taco Bell,1232,Hispanic
Female,5,28,Taco Bell,1233,White
Female,3,24,Burger King,1234,Black
Male,1,26,McDonald,1235,White
Female,3,28,McDonald,1236,Other
Male,3,37,McDonald,1237,White
Female,5,29,Burger King,1238,Other
Male,2,24,Burger King,1239,Other
Female,5,37,KFC,1240,White
Male,4,36,Taco Bell,1241,Hispanic
Male,2,29,McDonald,1242,Hispanic
Female,3,30,KFC,1243,Other
Male,5,33,Taco Bell,1244,Black
Female,5,27,KFC,1245,Hispanic
Female,4,29,KFC,1246,Black
Male,3,24,McDonald,1247,Black
Female,2,27,Taco Bell,1248,Hispanic
Male,1,32,McDonald,1249,Black
Female,2,26,Burger King,1250,Black
Female,4,31,McDonald,1251,Black
Male,4,29,KFC,1252,Black
Male,2,32,McDonald,1253,Hispanic
Female,2,29,KFC,1254,Hispanic
Male,2,28,KFC,1255,White
Female,5,31,Taco Bell,1256,Other
Female,3,32,KFC,1257,White
Male,1,29,Burger King,1258,White
Male,1,28,Taco Bell,1259,Hispanic
Female,4,30,KFC,1260,Black
Female,3,29,McDonald,1261,Other
Male,4,33,McDonald,1262,Black
Female,4,25,Taco Bell,1263,Other
Male,3,24,Taco Bell,1264,White
Female,4,32,McDonald,1265,Black
Female,5,28,McDonald,1266,Hispanic
Male,3,39,KFC,1267,White
Male,4,37,KFC,1268,White
Male,4,35,KFC,1269,Other
Male,2,30,McDonald,1270,Other
Female,5,23,Burger King,1271,Black
Female,2,30,KFC,1272,Hispanic
Male,4,33,KFC,1273,Black
Male,5,28,McDonald,1274,Hispanic
Female,1,23,KFC,1275,Hispanic
Male,4,35,KFC,1276,Hispanic
Male,5,32,KFC,1277,White
Male,2,21,McDonald,1278,Hispanic
Male,4,31,McDonald,1279,Hispanic
Male,4,29,McDonald,1280,White
Male,5,34,Taco Bell,1281,Black
Female,5,31,McDonald,1282,Other
Male,3,25,McDonald,1283,White
Female,5,26,Taco Bell,1284,Black
Female,3,26,Taco Bell,1285,Black
Female,3,34,Taco Bell,1286,Other
Female,5,27,Taco Bell,1287,Hispanic
Female,2,19,McDonald,1288,White
Male,1,31,KFC,1289,White
Male,3,35,KFC,1290,Black
Female,2,28,McDonald,1291,Black
Male,2,32,Burger King,1292,Other
Female,2,35,Burger King,1293,Other
Female,4,22,Taco Bell,1294,Hispanic
Male,3,31,Taco Bell,1295,White
Male,5,29,KFC,1296,Hispanic
Male,1,31,Burger King,1297,Black
Female,1,29,KFC,1298,Other
Female,4,31,Taco Bell,1299,Other
Female,5,28,Burger King,1300,Hispanic
Female,3,25,Taco Bell,1301,Other
Female,5,37,KFC,1302,Other
Male,1,25,Taco Bell,1303,Black
Male,5,30,McDonald,1304,Hispanic
Female,3,30,Taco Bell,1305,White
Female,2,28,KFC,1306,Other
Female,4,30,Taco Bell,1307,Hispanic
Male,3,36,Burger King,1308,Black
Male,3,19,McDonald,1309,Other
Female,3,33,McDonald,1310,Other
Female,5,41,Taco Bell,1311,White
Male,3,25,KFC,1312,Black
Male,5,34,KFC,1313,White
Female,3,25,McDonald,1314,Hispanic
Female,1,32,McDonald,1315,Hispanic
Male,4,21,McDonald,1316,Black
Female,2,33,KFC,1317,Black
Female,2,26,McDonald,1318,Other
Female,3,31,Taco Bell,1319,Hispanic
Female,1,17,Burger King,1320,Other
Male,3,30,Taco Bell,1321,Other
Female,3,20,Burger King,1322,Black
Female,3,32,McDonald,1323,White
Female,5,35,McDonald,1324,Hispanic
Male,4,27,McDonald,1325,White
Female,1,29,Burger King,1326,White
Male,5,31,Taco Bell,1327,Black
Female,1,30,KFC,1328,Other
Female,5,30,KFC,1329,Black
Female,2,31,McDonald,1330,White
Male,4,38,Taco Bell,1331,Hispanic
Male,4,23,Burger King,1332,Other
Female,3,27,Taco Bell,1333,Hispanic
Male,2,38,McDonald,1334,White
Male,1,25,McDonald,1335,Hispanic
Male,2,32,Burger King,1336,Hispanic
Male,4,32,KFC,1337,Hispanic
Male,1,35,Taco Bell,1338,Hispanic
Male,3,35,McDonald,1339,Hispanic
Male,5,24,Taco Bell,1340,Hispanic
Male,4,26,Taco Bell,1341,White
Female,2,37,McDonald,1342,Black
Female,2,22,McDonald,1343,Other
Female,2,35,McDonald,1344,White
Male,3,22,McDonald,1345,Other
Male,5,26,McDonald,1346,Hispanic
Female,5,30,Burger King,1347,Hispanic
Female,1,36,KFC,1348,Hispanic
Female,2,31,Burger King,1349,White
Male,5,28,KFC,1350,Other
Female,5,27,KFC,1351,Other
Male,4,29,Taco Bell,1352,Black
Male,3,35,Taco Bell,1353,Black
Male,2,39,Taco Bell,1354,Hispanic
Male,2,33,KFC,1355,Other
Female,1,20,KFC,1356,Hispanic
Male,1,23,Burger King,1357,Other
Female,5,36,McDonald,1358,Black
Male,5,17,Burger King,1359,White
Female,5,21,KFC,1360,Black
Female,5,25,McDonald,1361,Black
Male,3,35,KFC,1362,Black
Female,3,37,Taco Bell,1363,Black
Female,3,26,Taco Bell,1364,Other
Female,3,34,Burger King,1365,Other
Male,2,38,McDonald,1366,Hispanic
Male,1,32,McDonald,1367,Hispanic
Male,1,29,Burger King,1368,Black
Male,4,27,Taco Bell,1369,Black
Female,5,37,KFC,1370,Other
Female,2,37,McDonald,1371,Black
Female,4,29,Burger King,1372,Other
Female,3,27,Taco Bell,1373,White
Male,4,28,Taco Bell,1374,White
Female,1,30,KFC,1375,Hispanic
Male,5,18,Taco Bell,1376,Hispanic
Female,1,28,Burger King,1377,Black
Male,5,27,Burger King,1378,Black
Female,4,29,Taco Bell,1379,Other
Female,2,37,McDonald,1380,White
Male,3,39,Burger King,1381,Hispanic
Female,3,27,Taco Bell,1382,Black
Female,3,28,McDonald,1383,Other
Male,2,33,KFC,1384,Black
Male,3,31,KFC,1385,Hispanic
Female,1,24,Taco Bell,1386,White
Male,1,18,Burger King,1387,White
Male,2,37,McDonald,1388,Black
Female,2,33,McDonald,1389,White
Male,1,21,McDonald,1390,Black
Male,1,27,McDonald,1391,Other
Male,1,30,Taco Bell,1392,Hispanic
Male,5,24,McDonald,1393,Hispanic
Female,5,40,McDonald,1394,Other
Female,3,37,McDonald,1395,Black
Female,3,30,McDonald,1396,Other
Female,1,28,Burger King,1397,Hispanic
Female,4,38,McDonald,1398,Black
Male,4,28,Burger King,1399,White
Female,5,29,Taco Bell,1400,Hispanic
Female,3,32,Burger King,1401,Black
Female,5,28,McDonald,1402,Black
Female,3,22,KFC,1403,Black
Male,4,33,Burger King,1404,White
Female,2,25,McDonald,1405,White
Female,1,27,McDonald,1406,Other
Female,1,23,KFC,1407,Black
Male,2,32,Burger King,1408,Black
Female,5,27,KFC,1409,Other
Male,1,33,Taco Bell,1410,Black
Female,3,31,Taco Bell,1411,White
Male,2,24,Burger King,1412,Hispanic
Male,5,33,McDonald,1413,Hispanic
Female,2,27,Burger King,1414,Hispanic
Male,4,25,McDonald,1415,White
Male,1,34,Burger King,1416,Black
Female,3,28,Burger King,1417,White
Male,3,25,Burger King,1418,White
Female,5,25,KFC,1419,Hispanic
Male,1,28,Taco Bell,1420,Other
Male,5,32,KFC,1421,White
Female,4,36,KFC,1422,White
Female,2,43,KFC,1423,Black
Female,4,29,McDonald,1424,White
Male,1,41,McDonald,1425,Black
Female,2,29,KFC,1426,Hispanic
Male,5,29,Burger King,1427,Other
Female,5,35,Taco Bell,1428,Black
Male,3,31,Burger King,1429,Black
Female,4,31,Taco Bell,1430,Black
Male,2,29,Burger King,1431,White
Male,3,24,Burger King,1432,Black
Male,5,21,KFC,1433,Hispanic
Male,1,26,Taco Bell,1434,Black
Female,1,29,Burger King,1435,Other
Female,1,35,McDonald,1436,Hispanic
Female,4,41,Taco Bell,1437,Other
Female,5,24,Burger King,1438,White
Female,4,23,McDonald,1439,Hispanic
Female,5,39,Burger King,1440,Other
Female,2,30,KFC,1441,Black
Female,4,21,Burger King,1442,Black
Male,1,33,McDonald,1443,Hispanic
Male,3,30,Taco Bell,1444,Other
Female,4,33,KFC,1445,Hispanic
Male,3,19,Taco Bell,1446,White
Female,5,29,McDonald,1447,Black
Female,1,30,Burger King,1448,Hispanic
Female,5,30,KFC,1449,Other
Male,2,25,Burger King,1450,Hispanic
Male,2,24,KFC,1451,Black
Female,4,32,Burger King,1452,Hispanic
Female,4,26,McDonald,1453,Other
Female,2,31,Burger King,1454,Hispanic
Female,2,34,Burger King,1455,White
Male,5,28,Taco Bell,1456,White
Female,5,31,KFC,1457,White
Male,4,28,Burger King,1458,Other
Female,5,36,KFC,1459,Other
Female,4,24,Taco Bell,1460,White
Female,4,33,McDonald,1461,Other
Male,1,24,KFC,1462,Hispanic
Male,2,31,KFC,1463,Other
Male,3,29,Burger King,1464,Hispanic
Male,4,32,McDonald,1465,Black
Male,5,32,Burger King,1466,White
Male,5,38,KFC,1467,Black
Female,4,37,Taco Bell,1468,Other
Female,3,18,McDonald,1469,Other
Female,4,33,McDonald,1470,White
Female,3,38,Taco Bell,1471,White
Female,3,33,KFC,1472,White
Male,2,35,McDonald,1473,Black
Male,3,17,McDonald,1474,Other
Female,2,33,Burger King,1475,Hispanic
Male,4,32,Taco Bell,1476,Black
Female,2,31,McDonald,1477,Hispanic
Male,5,15,Burger King,1478,Hispanic
Female,4,37,KFC,1479,White
Female,5,35,Taco Bell,1480,Other
Female,5,28,KFC,1481,Other
Female,3,33,KFC,1482,Other
Female,3,37,Burger King,1483,Black
Male,4,20,KFC,1484,White
Male,5,25,McDonald,1485,Black
Female,5,27,Burger King,1486,Black
Male,2,32,KFC,1487,Black
Male,3,33,Burger King,1488,Hispanic
Female,2,28,McDonald,1489,Other
Female,3,28,McDonald,1490,White
Female,3,37,KFC,1491,Black
Female,4,45,KFC,1492,Hispanic
Female,1,26,Burger King,1493,Hispanic
Female,1,31,Burger King,1494,Hispanic
Female,1,28,Taco Bell,1495,Other
Female,5,29,KFC,1496,Hispanic
Female,2,26,KFC,1497,Other
Female,1,32,Burger King,1498,Hispanic
Male,2,29,Taco Bell,1499,Other
Female,5,23,KFC,1500,Other
Male,4,33,Burger King,1501,Hispanic
Female,2,32,Burger King,1502,Black
Male,3,24,KFC,1503,Hispanic
Male,3,29,Burger King,1504,Other
Male,1,30,Burger King,1505,Black
Male,1,28,KFC,1506,White
Male,1,31,McDonald,1507,Hispanic
Female,1,35,Burger King,1508,Hispanic
Male,2,33,Taco Bell,1509,Black
Male,5,40,Burger King,1510,Hispanic
Female,4,22,Taco Bell,1511,White
Female,3,38,McDonald,1512,Other
Male,1,36,Taco Bell,1513,White
Male,4,22,Taco Bell,1514,Other
Female,1,40,Taco Bell,1515,White
Male,1,20,McDonald,1516,Black
Male,3,31,McDonald,1517,Other
Male,1,23,Burger King,1518,Other
Female,2,40,KFC,1519,Other
Female,5,37,KFC,1520,White
Male,2,40,McDonald,1521,Hispanic
Male,3,34,McDonald,1522,Other
Male,5,33,McDonald,1523,Hispanic
Male,3,37,McDonald,1524,White
Female,1,28,McDonald,1525,White
Female,2,26,KFC,1526,Black
Male,5,33,KFC,1527,Hispanic
Male,2,27,Taco Bell,1528,Black
Female,5,28,Burger King,1529,Other
Female,5,31,KFC,1530,Black
Female,5,26,McDonald,1531,Hispanic
Male,5,27,McDonald,1532,White
Female,4,27,Burger King,1533,Other
Female,4,31,KFC,1534,Black
Female,4,31,McDonald,1535,Other
Female,3,25,KFC,1536,White
Male,4,34,Taco Bell,1537,White
Female,2,32,KFC,1538,White
Female,4,22,KFC,1539,Other
Female,5,25,Taco Bell,1540,White
Male,1,23,McDonald,1541,Other
